"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","test delete exercise","LMS service","Fri Feb 06 20:47:25 UTC 2026","passed","Fri Feb 06 20:47:25 UTC 2026","Delete entity","Exercises","",""
"","14","test get file with incorrect file id","LMS service","Fri Feb 06 20:47:28 UTC 2026","passed","Fri Feb 06 20:47:28 UTC 2026","Validate entity","Files","",""
"","24","test create file with empty filename","LMS service","Fri Feb 06 20:47:30 UTC 2026","passed","Fri Feb 06 20:47:30 UTC 2026","Validate entity","Files","",""
"","25","test create exercise","LMS service","Fri Feb 06 20:47:24 UTC 2026","passed","Fri Feb 06 20:47:24 UTC 2026","Create entity","Exercises","",""
"","15","test get file","LMS service","Fri Feb 06 20:47:27 UTC 2026","passed","Fri Feb 06 20:47:27 UTC 2026","Get entity","Files","",""
"","27","test create course","LMS service","Fri Feb 06 20:47:22 UTC 2026","passed","Fri Feb 06 20:47:22 UTC 2026","Create entity","Courses","",""
"","21","test update exercise","LMS service","Fri Feb 06 20:47:24 UTC 2026","passed","Fri Feb 06 20:47:24 UTC 2026","Update entity","Exercises","",""
"","15","Get user me","LMS service","Fri Feb 06 20:47:31 UTC 2026","passed","Fri Feb 06 20:47:31 UTC 2026","Get entity","Users","",""
"","25","test get exercises","LMS service","Fri Feb 06 20:47:27 UTC 2026","passed","Fri Feb 06 20:47:27 UTC 2026","Get entities","Exercises","",""
"","33","test create file","LMS service","Fri Feb 06 20:47:26 UTC 2026","passed","Fri Feb 06 20:47:26 UTC 2026","Create entity","Files","",""
"","526","Create user","LMS service","Fri Feb 06 20:47:30 UTC 2026","passed","Fri Feb 06 20:47:30 UTC 2026","Create entity","Users","",""
"","33","test update course","LMS service","Fri Feb 06 20:47:22 UTC 2026","passed","Fri Feb 06 20:47:22 UTC 2026","Update entity","Courses","",""
"","288","Create user","LMS service","Fri Feb 06 20:47:30 UTC 2026","passed","Fri Feb 06 20:47:30 UTC 2026","Create entity","Users","",""
"","266","test create file with empty directory","LMS service","Fri Feb 06 20:47:29 UTC 2026","passed","Fri Feb 06 20:47:30 UTC 2026","Validate entity","Files","",""
"","553","test login with correct email and password","LMS service","Fri Feb 06 20:47:21 UTC 2026","passed","Fri Feb 06 20:47:21 UTC 2026","Login","Authentication","",""
"","532","Create user","LMS service","Fri Feb 06 20:47:30 UTC 2026","passed","Fri Feb 06 20:47:30 UTC 2026","Create entity","Users","",""
"","32","test get courses","LMS service","Fri Feb 06 20:47:21 UTC 2026","passed","Fri Feb 06 20:47:21 UTC 2026","Get entities","Courses","",""
"","22","test delete file","LMS service","Fri Feb 06 20:47:28 UTC 2026","passed","Fri Feb 06 20:47:28 UTC 2026","Delete entity","Files","",""
"","23","test get exercise","LMS service","Fri Feb 06 20:47:26 UTC 2026","passed","Fri Feb 06 20:47:26 UTC 2026","Get entity","Exercises","",""
