"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","291","test delete exercise","LMS service","Fri Feb 06 21:01:07 UTC 2026","passed","Fri Feb 06 21:01:07 UTC 2026","Delete entity","Exercises","",""
"","25","test create exercise","LMS service","Fri Feb 06 21:01:02 UTC 2026","passed","Fri Feb 06 21:01:02 UTC 2026","Create entity","Exercises","",""
"","272","test create file with empty directory","LMS service","Fri Feb 06 21:01:08 UTC 2026","passed","Fri Feb 06 21:01:09 UTC 2026","Validate entity","Files","",""
"","18","test update exercise","LMS service","Fri Feb 06 21:01:03 UTC 2026","passed","Fri Feb 06 21:01:03 UTC 2026","Update entity","Exercises","",""
"","550","test login with correct email and password","LMS service","Fri Feb 06 21:00:59 UTC 2026","passed","Fri Feb 06 21:00:59 UTC 2026","Login","Authentication","",""
"","547","Create user","LMS service","Fri Feb 06 21:01:09 UTC 2026","passed","Fri Feb 06 21:01:10 UTC 2026","Create entity","Users","",""
"","28","test create course","LMS service","Fri Feb 06 21:01:01 UTC 2026","passed","Fri Feb 06 21:01:01 UTC 2026","Create entity","Courses","",""
"","25","test get exercises","LMS service","Fri Feb 06 21:01:04 UTC 2026","passed","Fri Feb 06 21:01:04 UTC 2026","Get entities","Exercises","",""
"","269","test create file with empty filename","LMS service","Fri Feb 06 21:01:09 UTC 2026","passed","Fri Feb 06 21:01:09 UTC 2026","Validate entity","Files","",""
"","14","test get file","LMS service","Fri Feb 06 21:01:08 UTC 2026","passed","Fri Feb 06 21:01:08 UTC 2026","Get entity","Files","",""
"","270","test create file","LMS service","Fri Feb 06 21:01:05 UTC 2026","passed","Fri Feb 06 21:01:05 UTC 2026","Create entity","Files","",""
"","292","Create user","LMS service","Fri Feb 06 21:01:09 UTC 2026","passed","Fri Feb 06 21:01:09 UTC 2026","Create entity","Users","",""
"","21","test get exercise","LMS service","Fri Feb 06 21:01:03 UTC 2026","passed","Fri Feb 06 21:01:03 UTC 2026","Get entity","Exercises","",""
"","26","test get courses","LMS service","Fri Feb 06 21:01:00 UTC 2026","passed","Fri Feb 06 21:01:00 UTC 2026","Get entities","Courses","",""
"","303","test update course","LMS service","Fri Feb 06 21:01:00 UTC 2026","passed","Fri Feb 06 21:01:00 UTC 2026","Update entity","Courses","",""
"","21","test delete file","LMS service","Fri Feb 06 21:01:06 UTC 2026","passed","Fri Feb 06 21:01:06 UTC 2026","Delete entity","Files","",""
"","13","Get user me","LMS service","Fri Feb 06 21:01:10 UTC 2026","passed","Fri Feb 06 21:01:10 UTC 2026","Get entity","Users","",""
"","544","Create user","LMS service","Fri Feb 06 21:01:09 UTC 2026","passed","Fri Feb 06 21:01:09 UTC 2026","Create entity","Users","",""
"","14","test get file with incorrect file id","LMS service","Fri Feb 06 21:01:07 UTC 2026","passed","Fri Feb 06 21:01:07 UTC 2026","Validate entity","Files","",""
