"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","538","Create user","LMS service","Thu Feb 05 13:06:00 UTC 2026","passed","Thu Feb 05 13:06:01 UTC 2026","Create entity","Users","",""
"","26","test create exercise","LMS service","Thu Feb 05 13:05:56 UTC 2026","passed","Thu Feb 05 13:05:56 UTC 2026","Create entity","Exercises","",""
"","14","test get file","LMS service","Thu Feb 05 13:05:59 UTC 2026","passed","Thu Feb 05 13:05:59 UTC 2026","Get entity","Files","",""
"","0","test update exercise","LMS service","Thu Feb 05 13:05:54 UTC 2026","broken","Thu Feb 05 13:05:54 UTC 2026","Update entity","Exercises","",""
"","13","Get user me","LMS service","Thu Feb 05 13:06:02 UTC 2026","passed","Thu Feb 05 13:06:02 UTC 2026","Get entity","Users","",""
"","25","test create file","LMS service","Thu Feb 05 13:05:58 UTC 2026","passed","Thu Feb 05 13:05:58 UTC 2026","Create entity","Files","",""
"","15","test get file with incorrect file id","LMS service","Thu Feb 05 13:06:00 UTC 2026","passed","Thu Feb 05 13:06:00 UTC 2026","Validate entity","Files","",""
"","35","test get courses","LMS service","Thu Feb 05 13:05:53 UTC 2026","passed","Thu Feb 05 13:05:53 UTC 2026","Get entities","Courses","",""
"","21","test get exercise","LMS service","Thu Feb 05 13:05:57 UTC 2026","passed","Thu Feb 05 13:05:57 UTC 2026","Get entity","Exercises","",""
"","263","test create file with empty filename","LMS service","Thu Feb 05 13:06:01 UTC 2026","passed","Thu Feb 05 13:06:02 UTC 2026","Validate entity","Files","",""
"","21","test create file with empty directory","LMS service","Thu Feb 05 13:06:00 UTC 2026","passed","Thu Feb 05 13:06:00 UTC 2026","Validate entity","Files","",""
"","544","test login with correct email and password","LMS service","Thu Feb 05 13:05:53 UTC 2026","passed","Thu Feb 05 13:05:53 UTC 2026","Login","Authentication","",""
"","551","Create user","LMS service","Thu Feb 05 13:06:02 UTC 2026","passed","Thu Feb 05 13:06:02 UTC 2026","Create entity","Users","",""
"","30","test create course","LMS service","Thu Feb 05 13:05:54 UTC 2026","passed","Thu Feb 05 13:05:54 UTC 2026","Create entity","Courses","",""
"","37","test update course","LMS service","Thu Feb 05 13:05:54 UTC 2026","passed","Thu Feb 05 13:05:54 UTC 2026","Update entity","Courses","",""
"","528","Create user","LMS service","Thu Feb 05 13:06:01 UTC 2026","passed","Thu Feb 05 13:06:01 UTC 2026","Create entity","Users","",""
"","25","test delete file","LMS service","Thu Feb 05 13:05:59 UTC 2026","passed","Thu Feb 05 13:05:59 UTC 2026","Delete entity","Files","",""
"","289","test get exercises","LMS service","Thu Feb 05 13:05:58 UTC 2026","passed","Thu Feb 05 13:05:58 UTC 2026","Get entities","Exercises","",""
"","322","test delete exercise","LMS service","Thu Feb 05 13:05:57 UTC 2026","passed","Thu Feb 05 13:05:57 UTC 2026","Delete entity","Exercises","",""
