"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","51","test get exercise","LMS service","Fri Feb 06 13:34:39 UTC 2026","passed","Fri Feb 06 13:34:40 UTC 2026","Get entity","Exercises","",""
"","19","test delete exercise","LMS service","Fri Feb 06 13:34:40 UTC 2026","passed","Fri Feb 06 13:34:40 UTC 2026","Delete entity","Exercises","",""
"","19","test get exercises","LMS service","Fri Feb 06 13:34:41 UTC 2026","passed","Fri Feb 06 13:34:41 UTC 2026","Get entities","Exercises","",""
"","33","test get courses","LMS service","Fri Feb 06 13:34:36 UTC 2026","passed","Fri Feb 06 13:34:36 UTC 2026","Get entities","Courses","",""
"","28","test create course","LMS service","Fri Feb 06 13:34:37 UTC 2026","passed","Fri Feb 06 13:34:37 UTC 2026","Create entity","Courses","",""
"","543","Create user","LMS service","Fri Feb 06 13:34:43 UTC 2026","passed","Fri Feb 06 13:34:44 UTC 2026","Create entity","Users","",""
"","262","test create file with empty filename","LMS service","Fri Feb 06 13:34:44 UTC 2026","passed","Fri Feb 06 13:34:44 UTC 2026","Validate entity","Files","",""
"","27","test create exercise","LMS service","Fri Feb 06 13:34:38 UTC 2026","passed","Fri Feb 06 13:34:38 UTC 2026","Create entity","Exercises","",""
"","13","Get user me","LMS service","Fri Feb 06 13:34:45 UTC 2026","passed","Fri Feb 06 13:34:45 UTC 2026","Get entity","Users","",""
"","24","test delete file","LMS service","Fri Feb 06 13:34:42 UTC 2026","passed","Fri Feb 06 13:34:42 UTC 2026","Delete entity","Files","",""
"","553","Create user","LMS service","Fri Feb 06 13:34:44 UTC 2026","passed","Fri Feb 06 13:34:45 UTC 2026","Create entity","Users","",""
"","15","test get file with incorrect file id","LMS service","Fri Feb 06 13:34:43 UTC 2026","passed","Fri Feb 06 13:34:43 UTC 2026","Validate entity","Files","",""
"","547","test login with correct email and password","LMS service","Fri Feb 06 13:34:35 UTC 2026","passed","Fri Feb 06 13:34:36 UTC 2026","Login","Authentication","",""
"","24","test create file with empty directory","LMS service","Fri Feb 06 13:34:43 UTC 2026","passed","Fri Feb 06 13:34:43 UTC 2026","Validate entity","Files","",""
"","16","test get file","LMS service","Fri Feb 06 13:34:42 UTC 2026","passed","Fri Feb 06 13:34:42 UTC 2026","Get entity","Files","",""
"","26","test create file","LMS service","Fri Feb 06 13:34:41 UTC 2026","passed","Fri Feb 06 13:34:41 UTC 2026","Create entity","Files","",""
"","22","test update exercise","LMS service","Fri Feb 06 13:34:38 UTC 2026","passed","Fri Feb 06 13:34:38 UTC 2026","Update entity","Exercises","",""
"","525","Create user","LMS service","Fri Feb 06 13:34:44 UTC 2026","passed","Fri Feb 06 13:34:44 UTC 2026","Create entity","Users","",""
"","35","test update course","LMS service","Fri Feb 06 13:34:37 UTC 2026","passed","Fri Feb 06 13:34:37 UTC 2026","Update entity","Courses","",""
