"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","test delete exercise","LMS service","Fri Feb 06 13:17:38 UTC 2026","passed","Fri Feb 06 13:17:38 UTC 2026","Delete entity","Exercises","",""
"","25","test update exercise","LMS service","Fri Feb 06 13:17:37 UTC 2026","passed","Fri Feb 06 13:17:37 UTC 2026","Update entity","Exercises","",""
"","39","test update course","LMS service","Fri Feb 06 13:17:35 UTC 2026","passed","Fri Feb 06 13:17:35 UTC 2026","Update entity","Courses","",""
"","27","test create exercise","LMS service","Fri Feb 06 13:17:36 UTC 2026","passed","Fri Feb 06 13:17:37 UTC 2026","Create entity","Exercises","",""
"","29","test create file with empty directory","LMS service","Fri Feb 06 13:17:41 UTC 2026","passed","Fri Feb 06 13:17:41 UTC 2026","Validate entity","Files","",""
"","22","test get exercises","LMS service","Fri Feb 06 13:17:39 UTC 2026","passed","Fri Feb 06 13:17:39 UTC 2026","Get entities","Exercises","",""
"","38","test create course","LMS service","Fri Feb 06 13:17:35 UTC 2026","passed","Fri Feb 06 13:17:35 UTC 2026","Create entity","Courses","",""
"","14","Get user me","LMS service","Fri Feb 06 13:17:43 UTC 2026","passed","Fri Feb 06 13:17:43 UTC 2026","Get entity","Users","",""
"","538","Create user","LMS service","Fri Feb 06 13:17:41 UTC 2026","passed","Fri Feb 06 13:17:42 UTC 2026","Create entity","Users","",""
"","547","test login with correct email and password","LMS service","Fri Feb 06 13:17:34 UTC 2026","passed","Fri Feb 06 13:17:34 UTC 2026","Login","Authentication","",""
"","31","test create file","LMS service","Fri Feb 06 13:17:39 UTC 2026","passed","Fri Feb 06 13:17:39 UTC 2026","Create entity","Files","",""
"","20","test get file","LMS service","Fri Feb 06 13:17:40 UTC 2026","passed","Fri Feb 06 13:17:40 UTC 2026","Get entity","Files","",""
"","17","test get file with incorrect file id","LMS service","Fri Feb 06 13:17:41 UTC 2026","passed","Fri Feb 06 13:17:41 UTC 2026","Validate entity","Files","",""
"","525","Create user","LMS service","Fri Feb 06 13:17:42 UTC 2026","passed","Fri Feb 06 13:17:43 UTC 2026","Create entity","Users","",""
"","23","test delete file","LMS service","Fri Feb 06 13:17:40 UTC 2026","passed","Fri Feb 06 13:17:40 UTC 2026","Delete entity","Files","",""
"","65","test get exercise","LMS service","Fri Feb 06 13:17:38 UTC 2026","passed","Fri Feb 06 13:17:38 UTC 2026","Get entity","Exercises","",""
"","36","test get courses","LMS service","Fri Feb 06 13:17:34 UTC 2026","passed","Fri Feb 06 13:17:34 UTC 2026","Get entities","Courses","",""
"","270","test create file with empty filename","LMS service","Fri Feb 06 13:17:42 UTC 2026","passed","Fri Feb 06 13:17:43 UTC 2026","Validate entity","Files","",""
"","557","Create user","LMS service","Fri Feb 06 13:17:43 UTC 2026","passed","Fri Feb 06 13:17:43 UTC 2026","Create entity","Users","",""
