"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30","test create file","LMS service","Fri Feb 06 20:50:46 UTC 2026","passed","Fri Feb 06 20:50:46 UTC 2026","Create entity","Files","",""
"","499","Create user","LMS service","Fri Feb 06 20:50:48 UTC 2026","passed","Fri Feb 06 20:50:49 UTC 2026","Create entity","Users","",""
"","47","test get exercise","LMS service","Fri Feb 06 20:50:45 UTC 2026","passed","Fri Feb 06 20:50:45 UTC 2026","Get entity","Exercises","",""
"","499","Create user","LMS service","Fri Feb 06 20:50:49 UTC 2026","passed","Fri Feb 06 20:50:49 UTC 2026","Create entity","Users","",""
"","253","test create file with empty filename","LMS service","Fri Feb 06 20:50:49 UTC 2026","passed","Fri Feb 06 20:50:49 UTC 2026","Validate entity","Files","",""
"","17","test get file","LMS service","Fri Feb 06 20:50:47 UTC 2026","passed","Fri Feb 06 20:50:47 UTC 2026","Get entity","Files","",""
"","24","test create exercise","LMS service","Fri Feb 06 20:50:44 UTC 2026","passed","Fri Feb 06 20:50:44 UTC 2026","Create entity","Exercises","",""
"","25","test create course","LMS service","Fri Feb 06 20:50:43 UTC 2026","passed","Fri Feb 06 20:50:43 UTC 2026","Create entity","Courses","",""
"","20","test update exercise","LMS service","Fri Feb 06 20:50:44 UTC 2026","passed","Fri Feb 06 20:50:44 UTC 2026","Update entity","Exercises","",""
"","13","Get user me","LMS service","Fri Feb 06 20:50:50 UTC 2026","passed","Fri Feb 06 20:50:50 UTC 2026","Get entity","Users","",""
"","523","Create user","LMS service","Fri Feb 06 20:50:49 UTC 2026","passed","Fri Feb 06 20:50:50 UTC 2026","Create entity","Users","",""
"","22","test get exercises","LMS service","Fri Feb 06 20:50:46 UTC 2026","passed","Fri Feb 06 20:50:46 UTC 2026","Get entities","Exercises","",""
"","519","test login with correct email and password","LMS service","Fri Feb 06 20:50:41 UTC 2026","passed","Fri Feb 06 20:50:41 UTC 2026","Login","Authentication","",""
"","16","test get file with incorrect file id","LMS service","Fri Feb 06 20:50:48 UTC 2026","passed","Fri Feb 06 20:50:48 UTC 2026","Validate entity","Files","",""
"","20","test delete exercise","LMS service","Fri Feb 06 20:50:45 UTC 2026","passed","Fri Feb 06 20:50:45 UTC 2026","Delete entity","Exercises","",""
"","34","test get courses","LMS service","Fri Feb 06 20:50:41 UTC 2026","passed","Fri Feb 06 20:50:42 UTC 2026","Get entities","Courses","",""
"","251","test create file with empty directory","LMS service","Fri Feb 06 20:50:48 UTC 2026","passed","Fri Feb 06 20:50:48 UTC 2026","Validate entity","Files","",""
"","19","test delete file","LMS service","Fri Feb 06 20:50:47 UTC 2026","passed","Fri Feb 06 20:50:47 UTC 2026","Delete entity","Files","",""
"","31","test update course","LMS service","Fri Feb 06 20:50:43 UTC 2026","passed","Fri Feb 06 20:50:43 UTC 2026","Update entity","Courses","",""
