"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32","test update course","LMS service","Thu Feb 05 12:57:07 UTC 2026","passed","Thu Feb 05 12:57:07 UTC 2026","Update entity","Courses","",""
"","7","test get file with incorrect file id","LMS service","Thu Feb 05 12:57:13 UTC 2026","broken","Thu Feb 05 12:57:13 UTC 2026","Validate entity","Files","",""
"","24","test get exercises","LMS service","Thu Feb 05 12:57:11 UTC 2026","passed","Thu Feb 05 12:57:11 UTC 2026","Get entities","Exercises","",""
"","14","Get user me","LMS service","Thu Feb 05 12:57:15 UTC 2026","passed","Thu Feb 05 12:57:15 UTC 2026","Get entity","Users","",""
"","551","Create user","LMS service","Thu Feb 05 12:57:15 UTC 2026","passed","Thu Feb 05 12:57:15 UTC 2026","Create entity","Users","",""
"","27","test create course","LMS service","Thu Feb 05 12:57:07 UTC 2026","passed","Thu Feb 05 12:57:07 UTC 2026","Create entity","Courses","",""
"","529","Create user","LMS service","Thu Feb 05 12:57:14 UTC 2026","passed","Thu Feb 05 12:57:15 UTC 2026","Create entity","Users","",""
"","21","test delete file","LMS service","Thu Feb 05 12:57:12 UTC 2026","passed","Thu Feb 05 12:57:12 UTC 2026","Delete entity","Files","",""
"","35","test create file","LMS service","Thu Feb 05 12:57:11 UTC 2026","passed","Thu Feb 05 12:57:11 UTC 2026","Create entity","Files","",""
"","17","test get file","LMS service","Thu Feb 05 12:57:12 UTC 2026","passed","Thu Feb 05 12:57:12 UTC 2026","Get entity","Files","",""
"","261","test create file with empty filename","LMS service","Thu Feb 05 12:57:14 UTC 2026","broken","Thu Feb 05 12:57:15 UTC 2026","Validate entity","Files","",""
"","53","test get exercise","LMS service","Thu Feb 05 12:57:10 UTC 2026","passed","Thu Feb 05 12:57:10 UTC 2026","Get entity","Exercises","",""
"","21","test delete exercise","LMS service","Thu Feb 05 12:57:10 UTC 2026","passed","Thu Feb 05 12:57:10 UTC 2026","Delete entity","Exercises","",""
"","32","test get courses","LMS service","Thu Feb 05 12:57:06 UTC 2026","passed","Thu Feb 05 12:57:06 UTC 2026","Get entities","Courses","",""
"","21","test update exercise","LMS service","Thu Feb 05 12:57:09 UTC 2026","passed","Thu Feb 05 12:57:09 UTC 2026","Update entity","Exercises","",""
"","543","Create user","LMS service","Thu Feb 05 12:57:13 UTC 2026","passed","Thu Feb 05 12:57:14 UTC 2026","Create entity","Users","",""
"","547","test login with correct email and password","LMS service","Thu Feb 05 12:57:06 UTC 2026","passed","Thu Feb 05 12:57:06 UTC 2026","Login","Authentication","",""
"","14","test create file with empty directory","LMS service","Thu Feb 05 12:57:13 UTC 2026","broken","Thu Feb 05 12:57:13 UTC 2026","Validate entity","Files","",""
"","26","test create exercise","LMS service","Thu Feb 05 12:57:09 UTC 2026","passed","Thu Feb 05 12:57:09 UTC 2026","Create entity","Exercises","",""
