"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","550","Create user","LMS service","Thu Feb 05 15:31:24 UTC 2026","passed","Thu Feb 05 15:31:25 UTC 2026","Create entity","Users","",""
"","0","test update course","LMS service","Thu Feb 05 15:31:16 UTC 2026","broken","Thu Feb 05 15:31:16 UTC 2026","Update entity","Courses","",""
"","288","Create user","LMS service","Thu Feb 05 15:31:24 UTC 2026","passed","Thu Feb 05 15:31:25 UTC 2026","Create entity","Users","",""
"","0","test get exercises","LMS service","Thu Feb 05 15:31:20 UTC 2026","broken","Thu Feb 05 15:31:20 UTC 2026","Get entities","Exercises","",""
"","265","test create file","LMS service","Thu Feb 05 15:31:21 UTC 2026","passed","Thu Feb 05 15:31:21 UTC 2026","Create entity","Files","",""
"","22","test update exercise","LMS service","Thu Feb 05 15:31:19 UTC 2026","passed","Thu Feb 05 15:31:19 UTC 2026","Update entity","Exercises","",""
"","16","test get file","LMS service","Thu Feb 05 15:31:22 UTC 2026","passed","Thu Feb 05 15:31:22 UTC 2026","Get entity","Files","",""
"","327","test delete exercise","LMS service","Thu Feb 05 15:31:20 UTC 2026","passed","Thu Feb 05 15:31:20 UTC 2026","Delete entity","Exercises","",""
"","24","test get exercise","LMS service","Thu Feb 05 15:31:20 UTC 2026","passed","Thu Feb 05 15:31:20 UTC 2026","Get entity","Exercises","",""
"","261","test create file with empty filename","LMS service","Thu Feb 05 15:31:24 UTC 2026","passed","Thu Feb 05 15:31:24 UTC 2026","Validate entity","Files","",""
"","22","test delete file","LMS service","Thu Feb 05 15:31:22 UTC 2026","passed","Thu Feb 05 15:31:22 UTC 2026","Delete entity","Files","",""
"","11","Get user me","LMS service","Thu Feb 05 15:31:25 UTC 2026","passed","Thu Feb 05 15:31:25 UTC 2026","Get entity","Users","",""
"","537","Create user","LMS service","Thu Feb 05 15:31:24 UTC 2026","passed","Thu Feb 05 15:31:24 UTC 2026","Create entity","Users","",""
"","33","test create exercise","LMS service","Thu Feb 05 15:31:19 UTC 2026","passed","Thu Feb 05 15:31:19 UTC 2026","Create entity","Exercises","",""
"","29","test get courses","LMS service","Thu Feb 05 15:31:16 UTC 2026","passed","Thu Feb 05 15:31:16 UTC 2026","Get entities","Courses","",""
"","14","test get file with incorrect file id","LMS service","Thu Feb 05 15:31:23 UTC 2026","passed","Thu Feb 05 15:31:23 UTC 2026","Validate entity","Files","",""
"","267","test create file with empty directory","LMS service","Thu Feb 05 15:31:23 UTC 2026","passed","Thu Feb 05 15:31:24 UTC 2026","Validate entity","Files","",""
"","544","test login with correct email and password","LMS service","Thu Feb 05 15:31:16 UTC 2026","passed","Thu Feb 05 15:31:16 UTC 2026","Login","Authentication","",""
"","29","test create course","LMS service","Thu Feb 05 15:31:17 UTC 2026","passed","Thu Feb 05 15:31:17 UTC 2026","Create entity","Courses","",""
